Serving Size,46g
Calories from Fat,61
Calories,90
Total Fat,6.8g
Saturated Fat,2g
Trans Fat,0g
Polyunsaturated Fat,1.5g
Monounsaturated Fat,2.8g
Cholesterol,184mg
Sodium,95mg
Potassium,70mg
Total Carbohydrates,0.4g
Dietary Fiber,0g
Sugars,0.2g
Protein,6.3g
