Serving Size,131g
Calories from Fat,150
Calories,360
Total Fat,17g
Saturated Fat,2.5g
Trans Fat,0g
Polyunsaturated Fat,0g
Monounsaturated Fat,0g
Cholesterol,45mg
Sodium,950mg
Potassium,0mg
Total Carbohydrates,28g
Dietary Fiber,2g
Sugars,0g
Protein,23g
