Serving Size,510g
Calories from Fat,34
Calories,168
Total Fat,3.7g
Saturated Fat,0.6g
Trans Fat,0g
Polyunsaturated Fat,0.7g
Monounsaturated Fat,0.8g
Cholesterol,15mg
Sodium,1168mg
Potassium,678mg
Total Carbohydrates,24g
Dietary Fiber,4.6g
Sugars,5.2g
Protein,10g
