Serving Size,47g
Calories from Fat,0
Calories,220
Total Fat,11g
Saturated Fat,5g
Trans Fat,0g
Polyunsaturated Fat,0.1g
Monounsaturated Fat,0g
Cholesterol,5mg
Sodium,190mg
Potassium,0mg
Total Carbohydrates,27g
Dietary Fiber,2g
Sugars,14g
Protein,3g
