Serving Size,694g
Calories from Fat,291
Calories,498
Total Fat,32g
Saturated Fat,12g
Trans Fat,0.4g
Polyunsaturated Fat,2.6g
Monounsaturated Fat,15g
Cholesterol,145mg
Sodium,2752mg
Potassium,966mg
Total Carbohydrates,18g
Dietary Fiber,4g
Sugars,7g
Protein,34g
