Serving Size,45g
Calories from Fat,0
Calories,180
Total Fat,9g
Saturated Fat,1.5g
Trans Fat,0g
Polyunsaturated Fat,0.1g
Monounsaturated Fat,0g
Cholesterol,25mg
Sodium,190mg
Potassium,0mg
Total Carbohydrates,22g
Dietary Fiber,0g
Sugars,12g
Protein,2g
