Serving Size,28g
Calories from Fat,85
Calories,115
Total Fat,9.4g
Saturated Fat,5.3g
Trans Fat,0.3g
Polyunsaturated Fat,0.4g
Monounsaturated Fat,2.6g
Cholesterol,28mg
Sodium,185mg
Potassium,22mg
Total Carbohydrates,0.9g
Dietary Fiber,0g
Sugars,0.1g
Protein,6.5g
