Serving Size,203g
Calories from Fat,310
Calories,600
Total Fat,35g
Saturated Fat,12g
Trans Fat,1g
Polyunsaturated Fat,0g
Monounsaturated Fat,0g
Cholesterol,100mg
Sodium,1240mg
Potassium,0mg
Total Carbohydrates,42g
Dietary Fiber,2g
Sugars,7g
Protein,33g
