Serving Size,67g
Calories from Fat,127
Calories,272
Total Fat,14g
Saturated Fat,7.8g
Polyunsaturated Fat,0.7g
Monounsaturated Fat,3.7g
Cholesterol,45mg
Sodium,313mg
Potassium,79mg
Total Carbohydrates,31g
Dietary Fiber,1.7g
Sugars,7.5g
Protein,5.5g
