Serving Size,113g
Calories from Fat,177
Calories,308
Total Fat,20g
Saturated Fat,7.4g
Trans Fat,0.8g
Polyunsaturated Fat,0.6g
Monounsaturated Fat,8.7g
Cholesterol,101mg
Sodium,103mg
Potassium,431mg
Total Carbohydrates,0g
Dietary Fiber,0g
Sugars,0g
Protein,31g
