Serving Size,425g
Calories from Fat,600
Calories,1000
Total Fat,66g
Saturated Fat,23g
Cholesterol,160mg
Sodium,2060mg
Total Carbohydrates,53g
Dietary Fiber,2g
Sugars,13g
Protein,47g
Potassium,0mg
