Serving Size,56g
Calories from Fat,1g
Calories,170
Total Fat,1g
Saturated Fat,8g
Trans Fat,0g
Cholesterol,5mg
Sodium,45mg
Potassium,0mg
Total Carbohydrates,18g
Dietary Fiber,1g
Sugars,14g
Protein,1g
