Serving Size,255g
Calories from Fat,480
Calories,800
Total Fat,54g
Saturated Fat,9g
Cholesterol,5mg
Sodium,1430mg
Total Carbohydrates,71g
Dietary Fiber,6g
Sugars,11g
Protein,15g
Potassium,0mg
