Serving Size,16g
Calories from Fat,26
Calories,42
Total Fat,2.9g
Saturated Fat,0.7g
Polyunsaturated Fat,1.2g
Monounsaturated Fat,0.7g
Cholesterol,94mg
Sodium,240mg
Potassium,29mg
Total Carbohydrates,0.6g
Dietary Fiber,0g
Sugars,0g
Protein,3.9g
