Serving Size,144g
Calories from Fat,211.5
Calories,305.3
Total Fat,23.3g
Saturated Fat,9g
Trans Fat,0.4g
Polyunsaturated Fat,4.8g
Monounsaturated Fat,7.5g
Cholesterol,446.3mg
Sodium,344.3mg
Potassium,177mg
Total Carbohydrates,1.7g
Dietary Fiber,0g
Sugars,0.6g
Protein,20.3g
