Serving Size,14g
Calories from Fat,104
Calories,102
Total Fat,12g
Saturated Fat,7.3g
Trans Fat,0.5g
Polyunsaturated Fat,0.4g
Monounsaturated Fat,3g
Cholesterol,31mg
Sodium,91mg
Potassium,3.4mg
Total Carbohydrates,0g
Dietary Fiber,0g
Sugars,0g
Protein,0.1g
