Serving Size,107g
Calories from Fat,93
Calories,285
Total Fat,10g
Saturated Fat,4.8g
Trans Fat,0.3g
Polyunsaturated Fat,1.8g
Monounsaturated Fat,2.8g
Cholesterol,18mg
Sodium,640mg
Potassium,184mg
Total Carbohydrates,36g
Dietary Fiber,2.5g
Sugars,3.8g
Protein,12g
