Serving Size,123g
Calories from Fat,103
Calories,239
Total Fat,11g
Saturated Fat,3.8g
Trans Fat,0.2g
Polyunsaturated Fat,1.9g
Monounsaturated Fat,4.9g
Cholesterol,121mg
Sodium,777mg
Potassium,198mg
Total Carbohydrates,19g
Dietary Fiber,1.5g
Sugars,1.4g
Protein,15g
