Serving Size,424g
Calories from Fat,811
Calories,1306
Total Fat,90g
Saturated Fat,37g
Trans Fat,1.1g
Polyunsaturated Fat,7.9g
Monounsaturated Fat,36g
Cholesterol,242mg
Sodium,2938mg
Potassium,666mg
Total Carbohydrates,55g
Dietary Fiber,3.1g
Sugars,3.1g
Protein,66g
