Serving Size,171g
Calories from Fat,127
Calories,437
Total Fat,14g
Saturated Fat,2.6g
Trans Fat,0.2g
Polyunsaturated Fat,6.4g
Monounsaturated Fat,3.9g
Cholesterol,166mg
Sodium,794mg
Potassium,348mg
Total Carbohydrates,39g
Dietary Fiber,2.1g
Sugars,1.9g
Protein,36g
