Serving Size,57g
Calories from Fat,140
Calories,180
Total Fat,16g
Saturated Fat,6g
Trans Fat,0g
Polyunsaturated Fat,0g
Monounsaturated Fat,0g
Cholesterol,35mg
Sodium,520mg
Potassium,0mg
Total Carbohydrates,1g
Dietary Fiber,0g
Sugars,1g
Protein,7g
