Serving Size,170g
Calories from Fat,113
Calories,148
Total Fat,13g
Saturated Fat,3.1g
Trans Fat,0.1g
Polyunsaturated Fat,1.3g
Monounsaturated Fat,7.5g
Cholesterol,9.3mg
Sodium,176mg
Potassium,353mg
Total Carbohydrates,6.4g
Dietary Fiber,2.8g
Sugars,3g
Protein,3.8g
