Serving Size,203g
Calories from Fat,254
Calories,433
Total Fat,28g
Saturated Fat,4.6g
Trans Fat,0.1g
Polyunsaturated Fat,16g
Monounsaturated Fat,6.3g
Cholesterol,30mg
Sodium,378mg
Potassium,237mg
Total Carbohydrates,30g
Dietary Fiber,2.1g
Sugars,3.2g
Protein,14g
