Serving Size,542g
Calories from Fat,299
Calories,513
Total Fat,33g
Saturated Fat,15g
Trans Fat,1g
Polyunsaturated Fat,3.6g
Monounsaturated Fat,11g
Cholesterol,108mg
Sodium,693mg
Potassium,482mg
Total Carbohydrates,27g
Dietary Fiber,1.7g
Sugars,5.1g
Protein,27g
