Serving Size,19g
Calories from Fat,70
Calories,90
Total Fat,8g
Saturated Fat,3g
Trans Fat,0g
Polyunsaturated Fat,0g
Monounsaturated Fat,0g
Cholesterol,15mg
Sodium,170mg
Potassium,0mg
Total Carbohydrates,0g
Dietary Fiber,0g
Sugars,0g
Protein,4g
