Serving Size,33g
Calories from Fat,0
Calories,120
Total Fat,0.5g
Saturated Fat,0g
Polyunsaturated Fat,0g
Monounsaturated Fat,0g
Cholesterol,15mg
Sodium,260mg
Potassium,0mg
Total Carbohydrates,3g
Dietary Fiber,1g
Sugars,1g
Protein,24g
