Serving Size,50g
Calories from Fat,48
Calories,78
Total Fat,5.3g
Saturated Fat,1.6g
Polyunsaturated Fat,0.7g
Monounsaturated Fat,2g
Cholesterol,187mg
Sodium,62mg
Potassium,63mg
Total Carbohydrates,0.6g
Dietary Fiber,0g
Sugars,0.6g
Protein,6.3g
