Serving Size,300g
Calories,620
Calories from Fat,260
Total Fat,29g
Saturated Fat,9g
Trans Fat,0g
Cholesterol,30mg
Sodium,1590mg
Total Carbohydrates,61g
Dietary Fiber,4g
Sugars,15g
Protein,27g
