Serving Size,240g
Calories from Fat,0
Calories,140
Total Fat,2g
Saturated Fat,1.5g
Cholesterol,10mg
Sodium,125mg
Total Carbohydrates,20g
Dietary Fiber,0g
Sugars,20g
Protein,11g
