Serving Size,179g
Calories from Fat,152
Calories,324
Total Fat,17g
Saturated Fat,3.7g
Trans Fat,0.2g
Polyunsaturated Fat,6.1g
Monounsaturated Fat,5.8g
Cholesterol,105mg
Sodium,348mg
Potassium,301mg
Total Carbohydrates,25g
Dietary Fiber,0.9g
Sugars,1g
Protein,17g
