Serving Size,184g
Calories from Fat,117
Calories,345
Total Fat,13g
Saturated Fat,2.7g
Trans Fat,0.7g
Polyunsaturated Fat,5.5g
Monounsaturated Fat,2.6g
Cholesterol,7.6mg
Sodium,571mg
Potassium,100mg
Total Carbohydrates,55g
Dietary Fiber,3.3g
Sugars,25g
Protein,4.4g
