Serving Size,140g
Calories from Fat,144
Calories,320
Total Fat,16g
Saturated Fat,3.5g
Trans Fat,0g
Cholesterol,95mg
Sodium,330mg
Total Carbohydrates,24g
Dietary Fiber,1g
Sugars,6g
Protein,21g
