Serving Size,62g
Calories from Fat,0g
Calories,160
Total Fat,3g
Saturated Fat,2g
Trans Fat,0g
Cholesterol,5mg
Sodium,150mg
Potassium,0mg
Total Carbohydrates,30g
Dietary Fiber,1g
Sugars,15g
Protein,2g
