Serving Size,259g
Calories from Fat,190
Calories,364
Total Fat,21g
Saturated Fat,7.7g
Trans Fat,0g
Polyunsaturated Fat,2.1g
Monounsaturated Fat,9.2g
Cholesterol,94mg
Sodium,696mg
Potassium,597mg
Total Carbohydrates,16g
Dietary Fiber,1.9g
Sugars,8.6g
Protein,27g
