Serving Size,550g
Calories from Fat,866
Calories,1234
Total Fat,96g
Saturated Fat,39g
Trans Fat,2.9g
Polyunsaturated Fat,9g
Monounsaturated Fat,36g
Cholesterol,282mg
Sodium,1744mg
Potassium,1257mg
Total Carbohydrates,26g
Dietary Fiber,4g
Sugars,10g
Protein,67g
