Serving Size,244g
Calories from Fat,21
Calories,102
Total Fat,2.4g
Saturated Fat,1.5g
Polyunsaturated Fat,0.1g
Monounsaturated Fat,0.7g
Cholesterol,12mg
Sodium,107mg
Potassium,366mg
Total Carbohydrates,12g
Dietary Fiber,0g
Sugars,13g
Protein,8.2g
