Serving Size,65g
Calories from Fat,54
Calories,130
Total Fat,6g
Saturated Fat,1g
Cholesterol,17mg
Sodium,200mg
Total Carbohydrates,17g
Dietary Fiber,1g
Sugars,0g
Protein,1g
Potassium,0mg
