Serving Size,64g
Calories from Fat,48
Calories,106
Total Fat,5.3g
Saturated Fat,2.9g
Trans Fat,0.1g
Polyunsaturated Fat,0.5g
Monounsaturated Fat,1.5g
Cholesterol,66mg
Sodium,117mg
Potassium,62mg
Total Carbohydrates,10g
Dietary Fiber,0.3g
Sugars,0.1g
Protein,3.8g
